0 0.030823
1 0.069744
2 0.116494
3 0.168912
4 0.228535
5 0.328105
6 0.366264
7 0.399391
8 0.464620
9 0.491561
10 0.545081
11 0.560632
12 0.568425
13 0.593934
14 0.592285
15 0.596965
16 0.642853
17 0.678415
18 0.690660
19 0.711587
20 0.730870
21 0.748967
22 0.779378
23 0.807314
24 0.828346
25 0.830504
26 0.806611
27 0.815871
28 0.809270
29 0.848993
30 0.887788
31 0.882267
32 0.855898
33 0.882307
34 0.924346
35 0.929917
36 0.908560
37 0.938687
38 0.958338
39 0.985694
40 0.980737
41 1.000000
42 1.000000
43 1.000000
44 0.979794
45 0.992193
46 0.966695
47 1.000000
48 0.976268
49 0.998062
50 0.958519
51 0.911592
52 0.838745
53 0.799903
54 0.777152
55 0.711137
56 0.690360
57 0.664213
58 0.649159
59 0.641174
60 0.598933
61 0.568954
62 0.538004
63 0.503369
64 0.478483
65 0.487854
66 0.459547
67 0.428222
68 0.391812
69 0.360983
70 0.355374
71 0.307788
72 0.273388
73 0.235470
74 0.215945
75 0.221227
76 0.211698
77 0.187737
78 0.184935
79 0.168733
80 0.146055
81 0.123474
82 0.125289
83 0.133190
84 0.139630
85 0.137093
86 0.102983
87 0.105127
88 0.137520
89 0.163074
90 0.135491
91 0.126643
92 0.145312
93 0.116952
94 0.131223
95 0.133400
96 0.153727
97 0.152941
98 0.136336
99 0.155404
