-5781.51 -1038.61 -198.605 -34261.3 -15723.4 22350.3 -12890.5 -8997.89 

-8649.43 -3988.8 -57.7952 -53477.2 -24856.2 39896.1 -22910.6 -15335.9 

-9896.67 -11023.4 396.578 -60208.6 -29876.7 53495.4 -29599.4 -18842.8 

-5698.51 -10315.1 815.753 -33928.6 -20671.8 38139.1 -17617.4 -10256 

2108.17 111.89 596.93 10232.9 -1328.23 7596.58 5161.31 6262.06 

10726.6 15272.4 -501.51 62241.8 24266.1 -29958.1 22660.9 22218.2 

17536.2 28833.7 -1891.03 108974 47005.1 -76546.1 32867.2 27726.6 

18180.2 31421.5 -2432.8 116981 51162.2 -94907.9 39135.5 19522.9 

