0 0.355001 0.027478 1.000000 0.072185
1 0.345001 0.053877 1.000000 0.000000
2 0.335001 0.081682 1.000000 0.000000
3 0.325001 0.109487 1.000000 0.000000
4 0.315001 0.137292 1.000000 0.000000
5 0.305001 0.165096 1.000000 0.000000
6 0.295001 0.192901 1.000000 0.000000
7 0.285001 0.220706 1.000000 0.000000
8 0.275001 0.248511 1.000000 0.000000
9 0.265001 0.276316 1.000000 0.000000
10 0.255001 0.304120 1.000000 0.000000
11 0.245001 0.331925 1.000000 0.000000
12 0.235001 0.359730 1.000000 0.000000
13 0.225001 0.387535 1.000000 0.000000
14 0.215001 0.415340 1.000000 0.000000
15 0.205001 0.443144 1.000000 0.000000
16 0.195001 0.470949 1.000000 0.000000
17 0.185001 0.498754 1.000000 0.000000
18 0.175001 0.526559 1.000000 0.000000
19 0.165001 0.554364 1.000000 0.000000
20 0.155001 0.582168 1.000000 0.000000
21 0.145001 0.609973 1.000000 0.000000
22 0.135001 0.637778 1.000000 0.000000
23 0.125001 0.665583 1.000000 0.000000
24 0.115001 0.693388 1.000000 0.000000
25 0.105001 0.721192 1.000000 0.000000
26 0.095001 0.748997 1.000000 0.000000
27 0.110001 0.776802 1.000000 0.000000
28 0.125001 0.804607 1.000000 0.000000
29 0.140001 0.832412 1.000000 0.000000
30 0.155001 0.860216 1.000000 0.000000
31 0.170001 0.888021 1.000000 0.000000
32 0.185001 0.915826 1.000000 0.000000
33 0.200001 0.943631 1.000000 0.000000
34 0.215001 0.971435 1.000000 0.000000
35 0.230001 0.999240 1.000000 0.003876
36 0.245001 1.000000 1.000000 0.016308
37 0.260001 1.000000 1.000000 0.036954
38 0.275001 1.000000 1.000000 0.060076
39 0.290001 1.000000 1.000000 0.085423
40 0.305001 1.000000 1.000000 0.112906
41 0.320000 1.000000 1.000000 0.142440
42 0.335000 1.000000 1.000000 0.173943
43 0.350000 1.000000 1.000000 0.207335
44 0.365000 1.000000 1.000000 0.242542
45 0.380000 1.000000 1.000000 0.279490
46 0.395000 1.000000 1.000000 0.318111
47 0.410000 1.000000 1.000000 0.358336
48 0.425000 1.000000 1.000000 0.400103
49 0.440000 1.000000 1.000000 0.443349
50 0.455000 1.000000 1.000000 0.488015
51 0.470000 1.000000 1.000000 0.534045
52 0.485000 1.000000 1.000000 0.581383
53 0.500000 1.000000 1.000000 0.629978
54 0.515000 1.000000 1.000000 0.679779
55 0.530000 1.000000 1.000000 0.730738
56 0.545000 1.000000 1.000000 0.782808
57 0.560000 0.999299 1.000000 0.835946
58 0.575000 0.995200 1.000000 0.890108
59 0.590000 0.988033 1.000000 0.945114
60 0.605000 0.978091 1.000000 1.000000
61 0.620000 0.965669 0.998551 1.000000
62 0.635000 0.953199 0.996633 1.000000
63 0.650000 0.940666 0.994193 1.000000
64 0.665000 0.928053 0.991251 1.000000
65 0.680000 0.915343 0.987823 1.000000
66 0.695000 0.902522 0.983929 1.000000
67 0.710000 0.889574 0.979583 1.000000
68 0.725000 0.876486 0.974801 1.000000
69 0.740000 0.863246 0.969596 1.000000
70 0.755000 0.849840 0.963981 1.000000
71 0.770000 0.836257 0.957968 1.000000
72 0.785000 0.822485 0.951568 1.000000
73 0.800000 0.808516 0.944792 1.000000
74 0.815000 0.794338 0.937649 1.000000
75 0.830000 0.779943 0.930148 1.000000
76 0.845000 0.765322 0.922297 1.000000
77 0.860000 0.750468 0.914105 1.000000
78 0.875000 0.735372 0.905578 1.000000
79 0.890000 0.720028 0.896723 1.000000
80 0.905000 0.704430 0.887546 1.000000
81 0.920000 0.688570 0.878053 1.000000
82 0.935000 0.672445 0.868249 1.000000
83 0.925000 0.656048 0.858139 1.000000
84 0.915000 0.639374 0.848128 1.000000
85 0.905000 0.622431 0.838203 1.000000
86 0.895000 0.605223 0.828354 1.000000
87 0.885000 0.587757 0.818569 1.000000
88 0.875000 0.570037 0.808838 1.000000
89 0.865000 0.552068 0.799152 1.000000
90 0.855000 0.533854 0.789501 1.000000
91 0.845000 0.515399 0.779878 1.000000
92 0.835000 0.496706 0.770273 1.000000
93 0.825000 0.477779 0.760679 1.000000
94 0.815000 0.458622 0.751089 1.000000
95 0.805000 0.439236 0.741495 1.000000
96 0.795000 0.419624 0.731892 1.000000
97 0.785000 0.399789 0.722273 1.000000
98 0.775000 0.379734 0.712633 1.000000
99 0.765000 0.359459 0.702964 1.000000
100 0.755000 0.338968 0.693264 1.000000
101 0.745000 0.318261 0.683525 1.000000
102 0.735000 0.297341 0.673744 1.000000
103 0.725000 0.276209 0.663916 1.000000
104 0.715000 0.254867 0.654037 1.000000
105 0.705000 0.233316 0.644102 1.000000
106 0.695000 0.211556 0.634108 1.000000
107 0.685000 0.189590 0.624052 1.000000
108 0.675000 0.167419 0.613929 1.000000
109 0.665000 0.145043 0.603736 1.000000
110 0.655000 0.122463 0.593471 1.000000
111 0.645000 0.099681 0.583130 0.998191
112 0.635000 0.076742 0.573150 0.992424
113 0.625000 0.053755 0.564473 0.982725
114 0.615000 0.030843 0.558000 0.968897
115 0.605000 0.008154 0.554645 0.950542
116 0.595000 0.000000 0.555385 0.927077
117 0.585000 0.000000 0.561308 0.897729
118 0.575000 0.000000 0.574055 0.864343
119 0.565000 0.000000 0.594572 0.827005
120 0.555000 0.000000 0.623509 0.783932
121 0.545000 0.000000 0.661924 0.733248
122 0.535000 0.000000 0.711289 0.672887
123 0.525000 0.000000 0.773520 0.600499
124 0.515000 0.000000 0.851025 0.513349
125 0.505000 0.008552 0.946786 0.408209
126 0.495000 0.024739 1.000000 0.281234
